image,tool,CRITICAL,HIGH,MEDIUM,LOW,UNKNOWN,total,risk
docker.io_library_nginx_1.27,clair,0,0,2,60,54,116,32.0
localhost_5001_docker_kafka-setup-topics_2024.10.17-2_sha256_c46ca0439de47b3cea09bea542e97b34afd8442c571c394143c685d81a3e65ae,clair,0,3,425,159,0,587,513.5
localhost_5001_itdev_ibe-tool-liquibase_local_sha256_952eeb57eca15b4f66ae200951dc599097bed1790223151be47c9881c00d64eb,clair,0,17,61,48,0,126,136.0
localhost_5001_plat_bscjs_latest_sha256_5e88464151cedc46727eb027478ed7d0f399341061f09d9c59ac63b5fc786469,clair,0,0,1,41,31,73,21.5
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.16-feature.plj293.dev.2_sha256_f42dd7e95975b1a83c13730e9e574cb62f41e3a1b16faf34dbf6b4f195fe762f,clair,0,5,22,42,0,69,58.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.21-feature.plj292.dev.9_sha256_3666c3442acef3b70ae90a18c46bad0f50dced8d731497631842c45cdcfe218b,clair,0,5,22,42,0,69,58.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.1-175_sha256_7d19b2e4ad6a6e96a39d60d60bb5badaf9ad245739f10d42c9b20eeef0bd1077,clair,0,5,21,42,0,68,57.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.7-177_sha256_75c28437c9abf660a848e0e31140ccc5f886e8b8f331136cb1f764765c67ab8c,clair,0,5,21,42,0,68,57.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.9.10-198_sha256_71dd26deaf85e364a9940171d8feacd25acf7900e027145c9202d8e41f0074f0,clair,0,5,21,39,0,65,55.5
quay.io_projectquay_clair_4.8.0,clair,1,15,67,57,6,146,145.5
docker.io_library_nginx_1.27,trivy,2,16,15,1,1,35,73.5
localhost_5001_docker_kafka-setup-topics_2024.10.17-2_sha256_c46ca0439de47b3cea09bea542e97b34afd8442c571c394143c685d81a3e65ae,trivy,0,16,349,89,0,454,441.5
localhost_5001_itdev_ibe-tool-liquibase_local_sha256_952eeb57eca15b4f66ae200951dc599097bed1790223151be47c9881c00d64eb,trivy,0,7,24,2,0,33,46.0
localhost_5001_plat_bscjs_latest_sha256_5e88464151cedc46727eb027478ed7d0f399341061f09d9c59ac63b5fc786469,trivy,0,8,22,3,2,35,47.5
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.16-feature.plj293.dev.2_sha256_f42dd7e95975b1a83c13730e9e574cb62f41e3a1b16faf34dbf6b4f195fe762f,trivy,0,4,8,4,0,16,22.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.7.21-feature.plj292.dev.9_sha256_3666c3442acef3b70ae90a18c46bad0f50dced8d731497631842c45cdcfe218b,trivy,0,4,8,4,0,16,22.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.1-175_sha256_7d19b2e4ad6a6e96a39d60d60bb5badaf9ad245739f10d42c9b20eeef0bd1077,trivy,0,4,7,4,0,15,21.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.8.7-177_sha256_75c28437c9abf660a848e0e31140ccc5f886e8b8f331136cb1f764765c67ab8c,trivy,0,4,7,4,0,15,21.0
localhost_5001_security_tool-service-authentication-admin-realm_2025.9.10-198_sha256_71dd26deaf85e364a9940171d8feacd25acf7900e027145c9202d8e41f0074f0,trivy,0,4,7,1,0,12,19.5
quay.io_projectquay_clair_4.8.0,trivy,2,14,42,1,0,59,94.5
